first_air_date,genre_ids,id,name,original_language,original_name,overview,popularity,vote_average,vote_count
2023-10-02,[16],233643,Secret Mission: Sennyuu Sousakan wa Zettai ni Makenai!,ja,しーくれっとみっしょん～潜入捜査官は絶対に負けない！～,"The story follows two undercover agents Riko Ikazuchi and her junior partner Noma, who are infiltrating an apartment that is also the hideout of a criminal organization. They pretend to be newlyweds. However, when the culprits do not hear noise from them at night, they get suspicious. In order to convince the culprits that they are a married in couple in love, they start to touch and make some noise... Despite feelings of humiliation and pleasure throughout the undercover investigations, Riko endures it and devotes herself to her justice.",1484.4520000000002,5.4,15
2020-10-03,"[16, 10759, 10765]",95479,Jujutsu Kaisen,ja,呪術廻戦,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.",1120.942,8.6,2939
2022-04-09,"[16, 35, 10759]",120089,SPY x FAMILY,ja,SPY×FAMILY,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he’ll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife’s a deadly assassin and neither knows each other’s identity. But someone does, his adopted daughter who’s a telepath!",527.265,8.6,1543
2023-10-05,"[16, 10765]",213331,Berserk of Gluttony,ja,暴食のベルセルク,"Fate Graphite was born into a world where magical skills shape your destiny. His skill is Gluttony, a seemingly useless curse of unending hunger that has left him shunned and looked down upon. Until one day, after he takes the life of a thief, his true power awakens: he can devour the skill of anyone he kills to feed his appetite. Will he learn to control this gruesome ability for the better?",428.171,5.7,10
2018-04-03,"[16, 35, 18]",77240,Captain Tsubasa,ja,キャプテン翼,"The passionate story of an elementary school student whose thoughts and dreams revolve almost entirely around the love of soccer. 11-year-old Tsubasa Oozora started playing football at a very young age, and while it was mostly just a recreational sport for his friends, for him, it developed into something of an obsession.  In order to pursue his dream to the best of his elementary school abilities, Tsubasa moves with his mother to Nankatsu city, which is well-known for its excellent elementary school soccer teams. But although he was easily the best in his old town, Nankatsu has a lot more competition, and he will need all of his skill and talent in order to stand out from this new crowd.",257.074,8.2,580
1989-04-26,"[16, 10765, 10759]",12971,Dragon Ball Z,ja,ドラゴンボールゼット,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",247.523,8.3,4131
2023-11-17,"[16, 10759, 35, 10765]",155292,Scott Pilgrim Takes Off,en,Scott Pilgrim Takes Off,"Scott Pilgrim meets the girl of his dreams, Ramona Flowers, only to find out her seven evil exes stand in the way of their love.",236.204,8.4,98
2011-10-02,"[16, 10759, 10765]",46298,Hunter x Hunter,ja,HUNTER×HUNTER,"Twelve-year-old Gon Freecss one day discovers that the father he had always been told was dead was alive. His Father, Ging, is a Hunter — a member of society's elite with a license to go anywhere or do almost anything. Gon, determined to follow in his father's footsteps, decides to take the Hunter Examination and eventually find his father to prove himself as a Hunter in his own right. But on the way, he learns that there is more to becoming a Hunter than previously thought, and the challenges that he must face are considered the toughest in the world.",235.91,8.6,1522
2023-09-29,"[16, 18, 10759, 10765]",209867,Frieren: Beyond Journey's End,ja,葬送のフリーレン,"After the party of heroes defeated the Demon King, they restored peace to the land and returned to lives of solitude. Generations pass, and the elven mage Frieren comes face to face with humanity’s mortality. She takes on a new apprentice and promises to fulfill old friends’ dying wishes. Can an elven mind make peace with the nature of life and death? Frieren embarks on her quest to find out.",231.982,8.8,39
2016-04-04,"[16, 35, 18, 10759, 10765]",65942,Re:ZERO -Starting Life in Another World-,ja,Re:ゼロから始める異世界生活,"Natsuki Subaru, an ordinary high school  student, is on his way home from the convenience store when he finds  himself transported to another world. As he's lost and confused in a new  world where he doesn't even know left from right, the only person to  reach out to him was a beautiful girl with silver hair. Determined to  repay her somehow for saving him from his own despair, Subaru agrees to  help the girl find something she's looking for.",214.896,7.6,329
2004-10-05,"[10759, 16, 10765]",30984,Bleach,ja,BLEACH,"For as long as he can remember, Ichigo Kurosaki has been able to see ghosts. But when he meets Rukia, a Soul Reaper who battles evil spirits known as Hollows, he finds his life is changed forever. Now, with a newfound wealth of spiritual energy, Ichigo discovers his true calling: to protect the living and the dead from evil.",209.96900000000002,8.4,1638
2016-04-04,"[10759, 16]",67667,Beyblade Burst,ja,ベイブレードバースト,"Middle schooler Valt Aoi, with his Beyblade Valtryek, faces off against friends, classmates and rivals to become the world's number one Blader.",208.71599999999998,8.3,284
2020-10-05,"[16, 18]",105903,Eternity Shinya no Nurekoi Channel,ja,エタニティ　～深夜の濡恋ちゃんねる♡～,Anime adaptation of 12 romantic works from the Eternity Books manga label.,203.33900000000003,3.7,6
2022-10-05,"[16, 35, 10765, 10759]",119495,The Eminence in Shadow,ja,陰の実力者になりたくて！,"Shadowbrokers are those who go unnoticed, posing as unremarkable people, when in truth, they control everything from behind the scenes. Sid wants to be someone just like that more than anything, and something as insignificant as boring reality isn’t going to get in his way! He trains in secret every single night, preparing for his eventual rise to power—only to denied his destiny by a run-of-the-mill (yet deadly) traffic accident. But when he wakes up in a another world and suddenly finds himself at the head of an actual secret organization doing battle with evil in the shadows, he’ll finally get a chance to act out all of his delusional fantasies!",198.111,7.8,67
2021-04-11,"[18, 16, 10759, 80]",105009,Tokyo Revengers,ja,東京リベンジャーズ,"Takemichi Hanagaki is a freelancer that’s reached the absolute pits of despair in his life. He finds out that the only girlfriend he ever had, in middle school, Hinata Tachibana, had been killed by the ruthless Tokyo Manji Gang. The day after hearing about her death, he’s standing on the station platform and ends up being pushed over onto the tracks by a herd of people. He closes his eyes thinking he’s about to die, but when he opens his eyes back up, he somehow had gone back in time 12 years. Now that he’s back living the best days of his life, Takemichi decides to get revenge on his life.",198.044,8.5,1047
2023-07-07,"[16, 10759]",210879,Rurouni Kenshin,ja,るろうに剣心 －明治剣客浪漫譚－,"Ten years have passed since the end of Bakumatsu, an era of war that saw the uprising of citizens against the Tokugawa shogunate. The revolutionaries wanted to create a time of peace, and a thriving country free from oppression. The new age of Meiji has come, but peace has not yet been achieved. Swords are banned but people are still murdered in the streets. Orphans of war veterans are left with nowhere to go, while the government seems content to just line their pockets with money.",192.33599999999998,8.6,53
2018-07-01,"[16, 10759, 10765]",80020,Super Dragon Ball Heroes,ja,スーパードラゴンボールヒーローズ,"Trunks returns from the future to train with Goku and Vegeta. However, it disappears without warning. Then the mysterious Fu bursts in, telling them that Trunks has been imprisoned in the Prison Planet, a mysterious complex in an unknown place in the universes. The group seeks the dragon balls to free Trunks, but an endless battle awaits them! Will Goku and the others rescue Trunks and escape the Prison Planet?",188.653,7.6,2909
2002-10-03,"[16, 10759, 10765]",46260,Naruto,ja,ナルト,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja.",186.84599999999998,8.4,5242
2023-10-08,"[16, 10759, 10765]",218843,The Seven Deadly Sins: Four Knights of the Apocalypse,ja,七つの大罪 黙示録の四騎士,"As a prophecy of doom unfolds on the peaceful land of Britannia, a purehearted boy sets out on a journey of discovery — and revenge.",186.62400000000002,7.5,2
2023-10-01,"[16, 10759, 35, 10765]",205050,Shangri-La Frontier,ja,シャングリラ・フロンティア,"Rakuro Hizutome only cares about one thing: beating crappy VR games. He devotes his entire life to these buggy games and could clear them all in his sleep. One day, he decides to challenge himself and play a popular god-tier game called Shangri-La Frontier. But he quickly learns just how difficult it is. Will his expert skills be enough to uncover its hidden secrets?",185.4,7.0,14
2005-04-22,"[10759, 16, 35, 10765]",65733,Doraemon,ja,ドラえもん,"Robotic cat Doraemon is sent back in time from the 22nd century to protect 10-year-old Noby, a lazy and uncoordinated boy who is destined to have a tragic future. Doraemon can create secret gadgets from a pocket on his stomach, but they usually cause more bad than good because of Noby's propensity to misuse them.",182.486,7.9,85
2018-10-07,"[16, 10759, 10765]",82591,Goblin Slayer,ja,ゴブリンスレイヤー,"Goblins are known for their ferocity, cunning, and rapid reproduction, but their reputation as the lowliest of monsters causes their threat to be overlooked as adventurers turn a blind eye in favor of more rewarding assignments with larger bounties.

A young priestess has formed her first adventuring party, but almost immediately they find themselves in distress. It's the Goblin Slayer who comes to their rescue—a man who's dedicated his life to the extermination of all goblins, by any means necessary. As a holder of the prestigious Silver rank, the Goblin Slayer allows her to accompany him as he assists the Adventurer's Guild in all goblin-related matters. Together with the Priestess, High Elf, Dwarf, and Lizard-man, the armored warrior will not rest until every single goblin in the frontier lands has been eradicated for good.",182.00400000000002,8.2,431
2023-10-06,"[16, 35]",209845,Our Dating Story: The Experienced You and the Inexperienced Me,ja,経験済みなキミと、 経験ゼロなオレが、 お付き合いする話。,"Ryuto Kashima is the school's gloomy introvert, and he's got a crush on Runa Shirakawa, the popular girl. After losing a bet to classmates, he confesses his feelings to Runa one day. Shocked and secretly just as inexperienced as Ryuto, Runa agrees to date him. The relationship grows between two people who are as similar as they are different. Will their young love blossom? Time will tell!",179.50400000000002,6.4,12
2020-01-06,"[16, 35]",95897,Overflow,ja,おーばーふろぉ,"Male college student Kazushi Sudou and his childhood friends, the Shirakawa sisters, end up bathing together.",179.188,7.7,27
2021-01-11,"[16, 10759, 10765]",94664,Mushoku Tensei: Jobless Reincarnation,ja,無職転生 ～異世界行ったら本気だす～,"A 34-year-old hikikomori is kicked out of his home by his family after the death of his parents. After his eviction, he saves a group of teenagers from being killed by a speeding truck, but loses his life in the process. When he comes to, he realizes he has been reborn as Rudeus Greyrat, in a world of swords and sorcery.",176.50799999999998,8.6,820
2023-10-03,"[16, 10759, 35, 10765]",229610,A Playthrough of a Certain Dude's VRMMO Life,ja,とあるおっさんのVRMMO活動記,"Taichi Tanaka is just an ordinary 38-year-old who enjoys video games. He starts a new virtual reality multiplayer game called One More Free Life Online, naming his character Earth. Unlike his fellow players, he decides to master the most menial of skills in the game. He cooks the finest meals, overbrews complicated potions, and hunts monsters with handmade weapons. His fantasy life begins!",170.511,5.0,9
